name label
Enola_Rice_0001_L.jpg 0
Tatiana_Paus_0001_L.jpg 0
Hideki_Matsui_0001_L.jpg 0
Tina_Sinatra_0001_L.jpg 0
Charles_Bell_0001_L.jpg 0
closed_eye_2495.jpg_face_1_L.jpg 1
closed_eye_2817.jpg_face_1_L.jpg 1
closed_eye_1282.jpg_face_1_L.jpg 1
Kim_Jong-Il_0001_L.jpg 0
Miranda_Otto_0001_L.jpg 0
closed_eye_1383.jpg_face_1_L.jpg 1
Sean_Combs_0001_L.jpg 0
closed_eye_1924.jpg_face_1_L.jpg 1
closed_eye_1119.jpg_face_1_L.jpg 1
Robert_De_Niro_0001_L.jpg 0
James_May_0001_L.jpg 0
closed_eye_2078.jpg_face_3_L.jpg 1
closed_eye_0754.jpg_face_1_L.jpg 1
Jorge_Moreno_0001_L.jpg 0
Joseph_Ganim_0001_L.jpg 0
closed_eye_0825.jpg_face_1_L.jpg 1
closed_eye_2687.jpg_face_1_L.jpg 1
Diego_Colorado_0001_L.jpg 0
closed_eye_2115.jpg_face_1_L.jpg 1
Douglas_Meester_0001_L.jpg 0
closed_eye_2395.jpg_face_2_L.jpg 1
closed_eye_2793.jpg_face_1_L.jpg 1
Chris_Hernandez_0001_L.jpg 0
closed_eye_2309.BMP_face_1_L.jpg 1
Allen_Rock_0001_L.jpg 0
closed_eye_1050.jpg_face_2_L.jpg 1
Johnny_Benson_0001_L.jpg 0
closed_eye_1812.jpg_face_1_L.jpg 1
Abdel_Madi_Shabneh_0001_L.jpg 0
Hosni_Mubarak_0001_L.jpg 0
closed_eye_2603.jpg_face_1_L.jpg 1
closed_eye_1787.jpg_face_1_L.jpg 1
closed_eye_2597.jpg_face_1_L.jpg 1
Pauline_Phillips_0001_L.jpg 0
Mitt_Romney_0001_L.jpg 0
Dick_Devine_0001_L.jpg 0
Robbie_Naish_0001_L.jpg 0
Maura_Tierney_0001_L.jpg 0
closed_eye_0171.jpg_face_1_L.jpg 1
closed_eye_2804.jpg_face_1_L.jpg 1
closed_eye_2445.jpg_face_1_L.jpg 1
Carlos_Beltran_0001_L.jpg 0
closed_eye_0314.jpg_face_1_L.jpg 1
closed_eye_1393.jpg_face_1_L.jpg 1
Joe_Carnahan_0001_L.jpg 0
Dwayne_Williams_0001_L.jpg 0
closed_eye_2773.jpg_face_1_L.jpg 1
Gary_Bauer_0001_L.jpg 0
closed_eye_0852.jpg_face_1_L.jpg 1
Bryce_Carmine_0001_L.jpg 0
Michael_Ballack_0001_L.jpg 0
closed_eye_1161.jpg_face_1_L.jpg 1
Warren_Truss_0001_L.jpg 0
David_Blaine_0001_L.jpg 0
closed_eye_1350.jpg_face_2_L.jpg 1
Doug_Wilson_0001_L.jpg 0
closed_eye_1435.png_face_1_L.jpg 1
Edward_Said_0001_L.jpg 0
closed_eye_1281.jpg_face_1_L.jpg 1
closed_eye_1995.jpg_face_2_L.jpg 1
Daniela_Hantuchova_0001_L.jpg 0
closed_eye_0778.jpg_face_1_L.jpg 1
Joseph_Galante_0001_L.jpg 0
closed_eye_0014.jpg_face_2_L.jpg 1
closed_eye_1127.jpg_face_1_L.jpg 1
Joshua_Gracin_0001_L.jpg 0
Bobby_Kielty_0001_L.jpg 0
Dennis_Kucinich_0001_L.jpg 0
Andrea_Kiser_0001_L.jpg 0
Rick_Carlisle_0001_L.jpg 0
closed_eye_1330.jpg_face_1_L.jpg 1
closed_eye_1752.jpg_face_4_L.jpg 1
closed_eye_1274.jpg_face_1_L.jpg 1
closed_eye_1409.jpg_face_1_L.jpg 1
closed_eye_1480.jpg_face_4_L.jpg 1
closed_eye_0789.jpg_face_1_L.jpg 1
Mitchell_Swartz_0001_L.jpg 0
closed_eye_1543.jpg_face_1_L.jpg 1
Cindy_Crawford_0001_L.jpg 0
closed_eye_1276.jpg_face_2_L.jpg 1
Sam_Torrance_0001_L.jpg 0
Dinora_Rosales_0001_L.jpg 0
Artieas_Shanks_0001_L.jpg 0
closed_eye_1220.jpg_face_1_L.jpg 1
Alexander_Losyukov_0001_L.jpg 0
Derek_King_0001_L.jpg 0
Choi_Sung-hong_0001_L.jpg 0
Manuel_Rosendo_0001_L.jpg 0
Ari_Fleischer_0001_L.jpg 0
closed_eye_1865.jpg_face_3_L.jpg 1
closed_eye_1447.jpg_face_4_L.jpg 1
Dereck_Whittenburg_0001_L.jpg 0
